               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10113,             0.13776,                   0,              0.5431,             0.64394,              0.6027,             0.17685,            0.061274,            0.092792,                   0,             0.00049,             0.00049,             0.09559
                   1,            0.060221,             0.12406,                   0,             0.70715,             0.86523,             0.83441,             0.29137,            0.042364,            0.083535,                   0,          0.00098991,          0.00098991,             0.09109
                   2,            0.050763,             0.11478,                   0,             0.82034,             0.93288,              0.9373,              0.4265,            0.036889,            0.070949,                   0,           0.0014895,           0.0014895,            0.086589
                   3,            0.047233,             0.11111,                   0,             0.87531,             0.95385,             0.95325,             0.57966,            0.027779,            0.069532,                   0,           0.0019884,           0.0019884,            0.082088
                   4,            0.043533,             0.11043,                   0,             0.90808,             0.97431,             0.94755,             0.47025,             0.03154,            0.069928,                   0,           0.0024865,           0.0024865,            0.077587
                   5,             0.04027,              0.1089,                   0,             0.98896,             0.98846,             0.98821,             0.64198,              0.0258,            0.066914,                   0,           0.0029834,           0.0029834,            0.073083
                   6,            0.038153,             0.10856,                   0,             0.99371,             0.99371,             0.99365,             0.65547,            0.026346,            0.068963,                   0,            0.003479,            0.003479,            0.068579
                   7,            0.035647,             0.10637,                   0,              0.9937,             0.99371,             0.99334,             0.65026,             0.02556,             0.06757,                   0,           0.0039729,           0.0039729,            0.064073
                   8,            0.034361,             0.10422,                   0,             0.99423,             0.99423,             0.99339,             0.69537,            0.022555,            0.066816,                   0,           0.0044648,           0.0044648,            0.059565
                   9,             0.03191,              0.1051,                   0,             0.99895,             0.99895,             0.99549,             0.64623,             0.02246,            0.069207,                   0,           0.0049546,           0.0049546,            0.055055
                  10,            0.040596,             0.10614,                   0,             0.99247,             0.98846,             0.99415,             0.66474,            0.026604,            0.063184,                   0,            0.005442,            0.005442,            0.050542
                  11,            0.038043,             0.10539,                   0,             0.99634,             0.99895,             0.99557,             0.72516,            0.020553,             0.06017,                   0,           0.0059267,           0.0059267,            0.046027
                  12,            0.035021,             0.10192,                   0,             0.99895,             0.99895,             0.99524,             0.73128,            0.020987,             0.06295,                   0,           0.0064084,           0.0064084,            0.041508
                  13,            0.035006,            0.099377,                   0,             0.99633,             0.99633,              0.9953,              0.6978,            0.025152,            0.062372,                   0,            0.006887,            0.006887,            0.036987
                  14,            0.031861,             0.09704,                   0,              0.9979,              0.9979,             0.99547,             0.71112,            0.021813,             0.05877,                   0,           0.0073621,           0.0073621,            0.032462
                  15,            0.030639,            0.097175,                   0,             0.99842,             0.99843,             0.99516,             0.68988,            0.021016,            0.056844,                   0,           0.0078336,           0.0078336,            0.027934
                  16,            0.030236,            0.099965,                   0,              0.9979,             0.99843,             0.99504,             0.80579,            0.017214,            0.056288,                   0,           0.0083011,           0.0083011,            0.023401
                  17,            0.029413,            0.096893,                   0,             0.99843,             0.99843,               0.996,             0.68687,            0.024109,            0.055663,                   0,           0.0087645,           0.0087645,            0.018864
                  18,             0.02891,            0.095614,                   0,              0.9979,             0.99843,             0.99525,             0.80492,            0.016913,            0.057526,                   0,           0.0092234,           0.0092234,            0.014323
                  19,             0.02812,             0.09692,                   0,             0.99895,             0.99948,             0.99543,             0.77322,            0.017024,            0.054672,                   0,           0.0096778,           0.0096778,           0.0097778
                  20,            0.025736,            0.092613,                   0,             0.99947,             0.99948,             0.99595,              0.7997,            0.016228,            0.051894,                   0,           0.0096542,           0.0096542,           0.0096542
                  21,            0.026656,            0.093015,                   0,             0.99843,                   1,             0.99607,             0.81291,            0.016746,            0.049856,                   0,           0.0096542,           0.0096542,           0.0096542
                  22,            0.026065,            0.093375,                   0,             0.99944,             0.99948,              0.9955,             0.81777,            0.016176,            0.053733,                   0,           0.0096193,           0.0096193,           0.0096193
                  23,            0.024894,            0.092368,                   0,                   1,             0.99947,             0.99639,             0.79606,             0.01579,            0.055659,                   0,           0.0095828,           0.0095828,           0.0095828
                  24,            0.024452,            0.089274,                   0,                   1,                   1,             0.99619,              0.7942,            0.016266,            0.052236,                   0,           0.0095448,           0.0095448,           0.0095448
                  25,            0.024117,            0.087655,                   0,             0.99842,             0.99843,             0.99608,             0.85437,            0.013216,            0.043966,                   0,           0.0095052,           0.0095052,           0.0095052
                  26,            0.023385,            0.087502,                   0,             0.99998,             0.99948,             0.99648,             0.85964,            0.012594,            0.044912,                   0,           0.0094641,           0.0094641,           0.0094641
                  27,              0.0227,            0.087075,                   0,             0.98324,             0.98479,             0.99318,             0.79302,             0.01527,            0.056265,                   0,           0.0094215,           0.0094215,           0.0094215
                  28,            0.022542,            0.087041,                   0,                   1,                   1,             0.99597,             0.84299,            0.013339,            0.046862,                   0,           0.0093773,           0.0093773,           0.0093773
                  29,            0.022747,            0.087792,                   0,             0.99946,             0.99948,             0.99614,             0.85656,            0.013458,            0.046608,                   0,           0.0093317,           0.0093317,           0.0093317
                  30,            0.022499,            0.084418,                   0,             0.99947,                   1,             0.99601,             0.84381,            0.014004,            0.049059,                   0,           0.0092846,           0.0092846,           0.0092846
                  31,            0.022434,            0.085347,                   0,             0.99947,             0.99948,             0.99666,             0.82935,            0.014483,            0.051051,                   0,           0.0092361,           0.0092361,           0.0092361
                  32,             0.02111,            0.084527,                   0,             0.99947,             0.99948,             0.99617,             0.83926,            0.014178,            0.052032,                   0,           0.0091861,           0.0091861,           0.0091861
                  33,            0.021603,            0.083425,                   0,              0.9958,              0.9958,             0.99547,             0.85987,            0.012803,            0.045427,                   0,           0.0091348,           0.0091348,           0.0091348
                  34,            0.021075,            0.082609,                   0,             0.99947,                   1,             0.99666,              0.8732,            0.011981,            0.041527,                   0,           0.0090821,           0.0090821,           0.0090821
                  35,            0.020486,            0.082977,                   0,                   1,             0.99947,             0.99632,             0.85517,            0.012863,            0.045488,                   0,            0.009028,            0.009028,            0.009028
                  36,            0.020811,            0.081638,                   0,             0.99948,                   1,             0.99678,             0.89017,            0.011157,            0.040726,                   0,           0.0089726,           0.0089726,           0.0089726
                  37,            0.020408,            0.078404,                   0,             0.99895,             0.99948,             0.99699,             0.86663,            0.012414,            0.044139,                   0,           0.0089159,           0.0089159,           0.0089159
                  38,            0.020304,            0.081724,                   0,             0.99738,                   1,              0.9955,             0.81419,            0.015027,            0.051191,                   0,           0.0088579,           0.0088579,           0.0088579
                  39,            0.020568,            0.079572,                   0,                   1,                   1,             0.99685,             0.86179,            0.012914,            0.046543,                   0,           0.0087987,           0.0087987,           0.0087987
                  40,            0.020238,            0.081339,                   0,                   1,                   1,             0.99568,             0.85433,            0.012638,            0.043165,                   0,           0.0087382,           0.0087382,           0.0087382
                  41,            0.020306,            0.079103,                   0,                   1,                   1,             0.99638,             0.89625,            0.010841,            0.039859,                   0,           0.0086765,           0.0086765,           0.0086765
